"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2002","Stratum_1"," [count*km2/km2]",48785.4715249327,8194.99208510153,0.233268534277973
"1","2003","Stratum_1"," [count*km2/km2]",85445.4892529688,18005.3569362937,0.295376608569242
"1","2004","Stratum_1"," [count*km2/km2]",31436.0602718108,7056.28737301417,0.316866021693423
"1","2005","Stratum_1"," [count*km2/km2]",24432.6942166437,5360.22395931551,0.317235097564066
"1","2006","Stratum_1"," [count*km2/km2]",22040.2024233788,5738.39202309103,0.394975970193562
"1","2007","Stratum_1"," [count*km2/km2]",99863.0912226466,15995.1827360623,0.216778304570349
"1","2008","Stratum_1"," [count*km2/km2]",12819.0704028086,5672.25887789481,0.704108527646339
"1","2009","Stratum_1"," [count*km2/km2]",96871.8517354576,24655.2863604453,0.376462496173631
"1","2010","Stratum_1"," [count*km2/km2]",46266.5913073129,10547.6560779087,0.322559239555608
"1","2011","Stratum_1"," [count*km2/km2]",52847.4034485904,14288.2649154672,0.461060584145375
"1","2012","Stratum_1"," [count*km2/km2]",53210.8548419802,14043.0156049795,0.412147468978302
"1","2013","Stratum_1"," [count*km2/km2]",38130.2403828476,11360.8364320489,0.510159930070072
"1","2014","Stratum_1"," [count*km2/km2]",126530.202997491,34319.4638470074,0.392639026043396
"1","2015","Stratum_1"," [count*km2/km2]",78252.1568291111,26933.3089967113,0.503424767075387
"1","2016","Stratum_1"," [count*km2/km2]",68480.7062685115,14295.7990592221,0.300626721326434
"1","2017","Stratum_1"," [count*km2/km2]",36506.7045416166,14736.857100022,0.625020253613379
"1","2018","Stratum_1"," [count*km2/km2]",240483.600836202,53307.6312307008,0.317980216510843
"1","2019","Stratum_1"," [count*km2/km2]",85680.4078354099,22450.92346915,0.385088300133382
"1","2020","Stratum_1"," [count*km2/km2]",0,0,0
"1","2021","Stratum_1"," [count*km2/km2]",39460.8495097623,14509.4658812589,0.671421556170479
"1","2022","Stratum_1"," [count*km2/km2]",38553.7706577414,12923.265341847,0.58615831050639
"1","2002","Stratum_2"," [count*km2/km2]",40366.46816499,5679.38281248437,0.202709765289491
"1","2003","Stratum_2"," [count*km2/km2]",58319.4282718768,12302.9701404563,0.321879776628749
"1","2004","Stratum_2"," [count*km2/km2]",23613.5271259864,4379.53784573501,0.2795219986382
"1","2005","Stratum_2"," [count*km2/km2]",19251.1409418892,3349.12252409017,0.264529096209111
"1","2006","Stratum_2"," [count*km2/km2]",15656.6471736489,3240.17533271076,0.339146715117286
"1","2007","Stratum_2"," [count*km2/km2]",63472.9058381697,12495.11774727,0.299306536491336
"1","2008","Stratum_2"," [count*km2/km2]",9289.51229933683,3579.05869132734,0.689499800688988
"1","2009","Stratum_2"," [count*km2/km2]",73526.4189403704,16424.4531918465,0.357579953792692
"1","2010","Stratum_2"," [count*km2/km2]",34081.9709223854,7019.61340043315,0.314366864258137
"1","2011","Stratum_2"," [count*km2/km2]",37483.4411316834,9319.8679709145,0.461473468689568
"1","2012","Stratum_2"," [count*km2/km2]",33520.2013106322,8467.19668154575,0.459859586562789
"1","2013","Stratum_2"," [count*km2/km2]",30338.0460101133,9390.98812089895,0.568808084529863
"1","2014","Stratum_2"," [count*km2/km2]",81355.1230205856,18992.2202979701,0.385406666442427
"1","2015","Stratum_2"," [count*km2/km2]",58798.1035991614,19093.8070789423,0.510896758657127
"1","2016","Stratum_2"," [count*km2/km2]",53554.284850402,9899.51568672103,0.281209116966834
"1","2017","Stratum_2"," [count*km2/km2]",26210.1309030411,9925.54264156874,0.660345630793773
"1","2018","Stratum_2"," [count*km2/km2]",157973.614974142,36486.2003029669,0.37178019935067
"1","2019","Stratum_2"," [count*km2/km2]",73602.4284809756,17419.0681215199,0.36050537151367
"1","2020","Stratum_2"," [count*km2/km2]",0,0,0
"1","2021","Stratum_2"," [count*km2/km2]",26204.5688013457,8270.25145918245,0.642158007274598
"1","2022","Stratum_2"," [count*km2/km2]",24217.81464848,6757.60130441808,0.573023628138109
