"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2002","Stratum_1"," [count*km2/km2]",54089.2777650286,8153.67872701556,0.221703634269467
"1","2003","Stratum_1"," [count*km2/km2]",80220.9118888245,14431.035605725,0.274482749144173
"1","2004","Stratum_1"," [count*km2/km2]",31897.9275768512,5837.18822978198,0.277467150442991
"1","2005","Stratum_1"," [count*km2/km2]",24755.2408691957,4621.46392381989,0.287861575162657
"1","2006","Stratum_1"," [count*km2/km2]",20521.1621920104,4514.8941895866,0.36702111684366
"1","2007","Stratum_1"," [count*km2/km2]",85129.2805851974,12049.6599223346,0.20957652346482
"1","2008","Stratum_1"," [count*km2/km2]",11550.8913221155,4393.46049268536,0.662219688828803
"1","2009","Stratum_1"," [count*km2/km2]",88468.0575202684,19397.0603522075,0.34684619075317
"1","2010","Stratum_1"," [count*km2/km2]",42069.8491710695,8314.72996772577,0.301515993084162
"1","2011","Stratum_1"," [count*km2/km2]",57822.8748710124,14152.8998162474,0.462409993559442
"1","2012","Stratum_1"," [count*km2/km2]",40068.5852499374,9471.48451802016,0.416255418445959
"1","2013","Stratum_1"," [count*km2/km2]",31323.416878577,8886.12922363517,0.536623883414149
"1","2014","Stratum_1"," [count*km2/km2]",99761.4303563788,21979.3709263574,0.357920490390896
"1","2015","Stratum_1"," [count*km2/km2]",84757.3036320233,25819.1208744238,0.475912048921416
"1","2016","Stratum_1"," [count*km2/km2]",63732.8019068971,11342.874608546,0.271032370739647
"1","2017","Stratum_1"," [count*km2/km2]",35162.1682608172,12958.4486693681,0.627358422418626
"1","2018","Stratum_1"," [count*km2/km2]",204103.345985853,38679.1393446992,0.296010590453913
"1","2019","Stratum_1"," [count*km2/km2]",90085.8220581494,21041.3031168584,0.358830234562424
"1","2020","Stratum_1"," [count*km2/km2]",0,0,0
"1","2021","Stratum_1"," [count*km2/km2]",33951.0296531096,10658.8345256213,0.655648909127784
"1","2022","Stratum_1"," [count*km2/km2]",32492.5290531254,9191.77357974053,0.57063777437299
